EMP_ID;EMP_HEIGHT;EMP_WEIGHT;DEP_ID
645;174;81;1
779;205;91;1
840;167;64;1
848;161;57;1
1038;204;104;1
1146;165;65;1
1153;190;75;1
1182;185;82;1
1430;173;63;1
1555;180;62;1
1722;203;91;1
1925;191;95;1
1940;194;100;1
1944;169;65;1
2004;208;102;1
2290;205;97;1
2389;198;98;1
2531;191;73;1
2592;197;82;1
3086;178;60;1
3155;171;64;1
3417;177;62;1
3460;181;86;1
3722;177;60;1
3787;178;57;1
3811;183;74;1
3864;190;110;1
3900;164;65;1
3905;174;76;1
3928;172;56;1
3997;175;58;1
4158;196;102;1
4234;166;52;1
4284;185;72;1
4300;163;61;1
4346;178;85;1
4449;205;96;1
4483;190;98;1
4723;191;88;1
4733;192;101;1
4769;206;96;1
4911;177;80;1
4940;203;95;1
4942;166;52;1
4951;164;65;1
5036;166;52;1
5088;187;99;1
5147;205;98;1
5190;204;97;1
5270;174;54;1
5341;207;95;1
5623;156;47;1
5911;192;70;1
6048;173;66;1
6101;193;98;1
6430;203;103;1
6504;189;97;1
6858;169;63;1
6870;171;61;1
7103;196;95;1
7408;161;52;1
7472;170;61;1
7582;196;79;1
7634;170;56;1
7638;165;71;1
7796;178;81;1
7877;168;65;1
8022;200;80;1
8066;169;51;1
8072;198;103;1
8207;168;65;1
8250;174;58;1
8392;187;83;1
8437;174;75;1
8562;173;75;1
8600;199;94;1
8666;166;50;1
8992;194;95;1
9041;185;79;1
9500;160;51;1
9623;169;63;1
9645;176;55;1
9685;173;84;1
10252;167;56;1
10283;194;83;1
10378;174;64;1
10451;190;99;1
10471;176;75;1
10569;191;70;1
10857;183;85;1
10953;196;108;1
10957;204;92;1
11170;189;105;1
11317;181;89;1
11372;195;94;1
11482;205;93;1
11642;166;55;1
11713;176;65;1
11855;180;79;1
11884;177;74;1
11909;163;56;1
11919;178;83;1
11921;193;86;1
11985;204;104;1
11991;165;57;1
12144;163;58;1
12179;206;102;1
